2026-07-26 21:22:14 | INFO     | core.reporting.screenshot_manager | Screenshot saved: C:\Users\satye\OneDrive\Desktop\Android7\AndroidAutomationFramework\screenshots\test_add_backpack_to_cart_20260726_212214_464150.png
2026-07-26 21:22:14 | ERROR    | conftest | Failure screenshot captured: C:\Users\satye\OneDrive\Desktop\Android7\AndroidAutomationFramework\screenshots\test_add_backpack_to_cart_20260726_212214_464150.png
2026-07-26 21:22:15 | INFO     | core.driver.driver_factory | Appium session closed. Session ID=7f94ad1f-2c86-4eb8-9e96-1c16e8d37b94
2026-07-26 21:22:15 | INFO     | conftest | Test session finished
2026-07-26 21:22:15 | INFO     | conftest | ======================================================================
2026-07-26 21:22:24 | INFO     | conftest | ======================================================================
2026-07-26 21:22:24 | INFO     | conftest | Starting new test session
2026-07-26 21:22:24 | INFO     | core.driver.driver_factory | Creating Android Appium session.
2026-07-26 21:22:24 | INFO     | core.driver.driver_factory | Device UDID: X8E6BQOVMJORTG89
2026-07-26 21:22:24 | INFO     | core.driver.driver_factory | Application package: com.saucelabs.mydemoapp.rn
2026-07-26 21:22:28 | INFO     | core.driver.driver_factory | Appium session created successfully. Session ID=c96e8ee2-9323-4730-9862-df10338e8272
2026-07-26 21:22:28 | INFO     | ProductsPage | Clicking element: ('-android uiautomator', 'new UiSelector().text("Sauce Labs Backpack")')
2026-07-26 21:22:30 | INFO     | ProductDetailsPage | Clicking element: ('accessibility id', 'Add To Cart button')
2026-07-26 21:22:30 | INFO     | ProductDetailsPage | Clicking element: ('accessibility id', 'cart badge')
2026-07-26 21:22:33 | INFO     | core.driver.driver_factory | Appium session closed. Session ID=c96e8ee2-9323-4730-9862-df10338e8272
2026-07-26 21:22:33 | INFO     | conftest | Test session finished
2026-07-26 21:22:33 | INFO     | conftest | ======================================================================
2026-07-26 21:22:39 | INFO     | conftest | ======================================================================
2026-07-26 21:22:39 | INFO     | conftest | Starting new test session
2026-07-26 21:22:39 | INFO     | core.driver.driver_factory | Creating Android Appium session.
2026-07-26 21:22:39 | INFO     | core.driver.driver_factory | Device UDID: X8E6BQOVMJORTG89
2026-07-26 21:22:39 | INFO     | core.driver.driver_factory | Application package: com.saucelabs.mydemoapp.rn
2026-07-26 21:22:44 | INFO     | core.driver.driver_factory | Appium session created successfully. Session ID=f17e337f-e74e-4664-bf14-712ec904d0e3
